"CIF_EMPRESA","NOMBRE","DESCRIPCION","LOCALIZACION","TELEFONO","EMAIL"
"TOYOTA-ESP","Toyota España","Distribuidor de vehículos en España","España","+34_911234567","espana@toyota.com"
"TOYOTA-2ASIA","Toyota Asia","Distribuidor de vehículos en Asia","Asia","+81 123456789","asia@toyota.com"
"TOYOTA-USA","Toyota USA","Distribuidor de vehículos en USA","Estados Unidos","+1 800123456","usa@toyota.com"
"MSFT-EUR","Microsoft Europa","Operaciones en Europa","Europa","+44 2079460000   ","europeATmicrosoft.com"
"GOOGLE-IND","Google India","Oficina de Google en India","India","+91 2267218000","india@google.com"
"APPLE-CHN","Apple China","Operaciones en China","China   ","+86 1082384500     ","china@apple.com"
"SAMSUNG-UK","Samsung UK","Operaciones en Reino Unido","Reino Unido","+44 2074940000","ukATsamsung.com"
"AMZN3-CAN","Amazon Canadá","Operaciones en Canad????","Canadá","+1 8002025555","canada@amazon.com"
"IBM-AUS","IBM Australia","Operaciones en Australia","Australia","+61 293820000","australia^ibm.com"
"HUAWEI-EUR","Huawei Europa","Operaciones en Europa","Europa","+44 2078460000","europe@huawei.com"
