"NOMBRE","DESCRIPCION","TELEFONO","EMAIL","LOCALIZACION"
"Toyota","Empresa automotriz global","+81 1234567890","contact@toyota.com","Japón"
"Microsoft","Empresa de tecnología y software","+1 9876543210","info@microsoft.com","Estados Unidos"
"Google","Motor de búsqueda y tecnología","+1 5551234567","support@google.com","Estados Unidos"
"Apple","Fabricante de dispositivos electrónicos","+1 8005550000","info@apple.com","Estados Unidos"
"Samsung","Electrónica de consumo","+82 1029384756","contact@samsung.com","Corea del Sur"
"Amazon","Comercio electrónico y tecnología","+1 8001234567","info@amazon.com","Estados Unidos"
"IBM","Consultoría y servicios de TI","+1 8004264968","support@ibm.com","Estados Unidos"
"Huawei","Tecnología de información y comunicación","+86 1082937485","info@huawei.com","China"
"Facebook","Red social y tecnología","+1 6505434800","contact@facebook.com","Estados Unidos"
"Tesla","Fabricante de vehículos eléctricos","+1 8885183752","info@tesla.com","Estados Unidos"
